Username,Date,Comment
n*****_,2024-01-16 14:33:29,"Performance:good product with good quality

The shipping is very fast. Goodd for the price. First time buying here. Good and nice fuyoooo . First time buying film."
s*****i,2024-01-09 22:54:08,"Performance:perfect

Fast delivery, good packaging. Cheaper price I found at here"
a*****3,2024-03-24 14:21:45,"22/3 beli
23/3 dah sampai
Penghantaran cepat, diterima dalam keadaan baik."
5*****e,2024-03-07 23:06:52,"Performance:great!

Excites to use the film! Arrived with bubble wrapped!"
_*****a,2024-01-19 16:44:39,penghantaran sangat cepat dalam 3harj sampai dah. senang je nak masukkan boleh tengok yt or tiktok. sini paling murah mmg terbaik!
0hk7g7ieeb,2024-02-07 15:49:01,"order as a gift for my friend, hope it work out good and the delivery was quite in time"
s*****u,2024-01-04 18:38:02,"fast delivery, been using this film before, trying again 👍🏼👍🏼👍🏼👍🏼"
h*****a,2024-03-13 10:00:05,"Performance:good

dah beli dua kaliii hehe next time boleh repeat lagi!!!!"
lucien97,2024-03-16 10:42:45,The item received is well packaged. I have not yet tried it but hope it will give a good result.
ficalfaruq,2024-02-29 13:42:00,"Amazing, fast delivery and got to me safe and sound !"
meow12_,2024-02-12 08:36:32,"it turns out amazing. delivery wise, quite faster. everything in great condition & very cheap compared to others"
n*****h,2024-01-08 23:04:21,
d*****7,2024-02-02 00:11:23,"Performance:good

i used kodak ultra F9 btw, so far so good i think using flash is a mandatory when u shoot indoor hshshshhs thank you"
d*****a,2024-03-03 09:11:30,"sorry gambar dan video takda kena mengena, just nak bagitahu yang barang dah sampai and belum guna lagi. i think just fine."
a*****g,2024-01-24 20:17:21,Item delivered as expected. Got some dent on the box but the film still looks good
n*****m,2024-03-09 18:02:19,Okay je gambar cantik saya berpuas hati. Selalu beli. sampai pon in good condition
g1e7zgod4e,2024-03-06 18:22:56,"Performance:10/10

fuiiyyoo nice oo"
nikedora,2024-01-09 09:18:09,Ok good
s*****e,2024-03-26 18:06:28,fast delivery
jessbeckett,2024-03-06 19:18:17,
prelovedbyamera,2024-01-12 21:17:32,
zahirahabdbasid,2024-01-24 23:41:52,
alyaasabrina,2024-02-01 22:07:39,
amiransz,2024-02-02 01:25:03,
ezaliamawar40,2024-03-21 14:56:37,
akizaroswati,2024-03-19 18:17:24,
lenaliow,2024-03-22 08:33:57,
ramizahkadir,2024-01-18 23:24:05,
sarahsuaid,2024-03-19 18:49:31,
n*****r,2024-02-08 17:04:38,
najib.marzuki,2024-03-06 11:41:02,
mabellee645,2024-03-16 18:11:49,
a*****a,2024-02-07 17:09:54,
hsninaxxi,2024-02-11 15:59:10,
tsarazulkifli,2024-02-27 13:45:26,
i*****p,2024-03-08 15:01:23,
analischoong,2024-01-18 15:24:28,
chocomilk69,2024-02-09 21:48:49,
c*****m,2024-01-23 12:34:26,
t*****_,2024-02-04 22:09:17,
dnifrhn_,2024-03-21 18:47:37,
kmbrlygh,2024-01-16 12:48:38,
khish,2024-02-02 11:34:16,
a*****a,2024-02-12 03:52:54,
l*****h,2024-01-23 06:46:07,
aneet307,2024-01-03 00:35:45,
b*****u,2024-01-06 22:32:36,
kaicheeong,2024-01-15 00:23:53,
f*****k,2024-03-10 07:40:25,
jkumar_01,2024-01-13 14:45:32,
akimlolo,2024-03-26 14:56:32,
littlesus,2024-01-15 12:40:55,
bunnyjojoo,2024-02-17 10:29:30,
muhamadfahim_,2024-02-12 09:33:46,
jacklee070619,2024-02-15 20:01:59,
robindc96,2024-02-22 23:38:02,
shwiren,2024-03-04 16:47:34,
syedahmademranjamalullai,2024-03-01 15:34:11,
nuranishumairahbintianuwa,2024-03-05 15:29:10,
koksoonsaw,2024-02-10 07:40:47,
koksoonsaw,2024-02-10 07:40:47,
